family_id,left_index,left_split,left_asset,right_index,right_split,right_asset,frames,active_both,mean_joint_distance_cm,max_joint_distance_cm
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,23,train,M_Neutral_AO_Stand_X+135_Y0,11,True,40.320419,51.977539
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,24,train,M_Neutral_AO_Stand_X-135_Y+90,11,True,47.785542,61.251228
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,25,train,M_Neutral_AO_Stand_X-135_Y-90,11,True,47.896336,63.962299
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,26,train,M_Neutral_AO_Stand_X-135_Y0,11,True,47.893799,62.465679
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,683,train,M_Neutral_Run_Pose_F_hold,11,True,58.078873,89.219589
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,48.31464,71.480721
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,685,train,M_Neutral_Sprint_Pose_Lean_L_hold,11,True,53.769157,83.214249
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,686,train,M_Neutral_Sprint_Pose_Lean_L_into,11,True,48.029453,70.449654
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,687,train,M_Neutral_Sprint_Pose_Lean_L_out,11,True,49.80191,73.556541
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,688,train,M_Neutral_Sprint_Pose_Lean_R_hold,11,True,44.998131,61.210091
aim_offset_and_static_pose_shared_root,8,test,M_Neutral_AO_Crouch_X+90_Y0,689,train,M_Neutral_Sprint_Pose_Lean_R_into,11,True,48.248039,71.83107
aim_offset_and_static_pose_shared_root,9,train,M_Neutral_AO_Crouch_X-135_Y+90,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,True,14.724419,30.244192
aim_offset_and_static_pose_shared_root,9,train,M_Neutral_AO_Crouch_X-135_Y+90,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,8.358461,21.049469
aim_offset_and_static_pose_shared_root,9,train,M_Neutral_AO_Crouch_X-135_Y+90,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,24.776285,42.847275
aim_offset_and_static_pose_shared_root,9,train,M_Neutral_AO_Crouch_X-135_Y+90,684,validation,M_Neutral_Sprint_Pose_Lean_base,11,True,49.583588,64.893517
aim_offset_and_static_pose_shared_root,9,train,M_Neutral_AO_Crouch_X-135_Y+90,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,50.640503,67.367218
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,11,test,M_Neutral_AO_Crouch_X-135_Y0,11,True,7.913495,15.962943
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,12,train,M_Neutral_AO_Crouch_X-45_Y+90,11,True,23.278479,39.829823
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,13,train,M_Neutral_AO_Crouch_X-45_Y-90,11,True,19.360184,33.052479
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,14,train,M_Neutral_AO_Crouch_X-45_Y0,11,True,21.165007,37.345238
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,15,train,M_Neutral_AO_Crouch_X-90_Y+90,11,True,18.293427,33.695488
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,16,train,M_Neutral_AO_Crouch_X-90_Y-90,11,True,9.151954,15.019708
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,17,train,M_Neutral_AO_Crouch_X-90_Y0,11,True,13.873184,21.758202
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,18,train,M_Neutral_AO_Crouch_X0_Y+90,11,True,29.181032,55.281712
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,19,train,M_Neutral_AO_Crouch_X0_Y-90,11,True,28.47422,50.212997
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,20,test,M_Neutral_AO_Crouch_X0_Y0,11,True,28.760416,51.859138
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,21,train,M_Neutral_AO_Stand_X+135_Y+90,11,True,52.134026,82.33577
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,22,train,M_Neutral_AO_Stand_X+135_Y-90,11,True,51.736736,81.690247
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,23,train,M_Neutral_AO_Stand_X+135_Y0,11,True,51.986561,81.780113
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,24,train,M_Neutral_AO_Stand_X-135_Y+90,11,True,42.354389,65.484833
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,25,train,M_Neutral_AO_Stand_X-135_Y-90,11,True,42.718597,64.289543
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,26,train,M_Neutral_AO_Stand_X-135_Y0,11,True,42.601418,64.749001
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,683,train,M_Neutral_Run_Pose_F_hold,11,True,57.6063,97.239182
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,685,train,M_Neutral_Sprint_Pose_Lean_L_hold,11,True,46.30724,69.031151
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,686,train,M_Neutral_Sprint_Pose_Lean_L_into,11,True,46.926189,78.27681
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,687,train,M_Neutral_Sprint_Pose_Lean_L_out,11,True,46.51973,76.221504
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,688,train,M_Neutral_Sprint_Pose_Lean_R_hold,11,True,50.878101,89.588394
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,689,train,M_Neutral_Sprint_Pose_Lean_R_into,11,True,46.638916,76.952576
aim_offset_and_static_pose_shared_root,10,validation,M_Neutral_AO_Crouch_X-135_Y-90,690,test,M_Neutral_Sprint_Pose_Lean_R_out,11,True,47.879639,79.829529
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,12,train,M_Neutral_AO_Crouch_X-45_Y+90,11,True,21.617588,36.11475
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,13,train,M_Neutral_AO_Crouch_X-45_Y-90,11,True,20.410322,31.63475
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,14,train,M_Neutral_AO_Crouch_X-45_Y0,11,True,20.671406,35.127022
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,15,train,M_Neutral_AO_Crouch_X-90_Y+90,11,True,14.489126,24.612061
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,16,train,M_Neutral_AO_Crouch_X-90_Y-90,11,True,11.913229,22.405926
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,17,train,M_Neutral_AO_Crouch_X-90_Y0,11,True,12.088027,19.949745
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,18,train,M_Neutral_AO_Crouch_X0_Y+90,11,True,28.548294,50.91914
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,19,train,M_Neutral_AO_Crouch_X0_Y-90,11,True,28.368986,47.158249
aim_offset_and_static_pose_shared_root,11,test,M_Neutral_AO_Crouch_X-135_Y0,21,train,M_Neutral_AO_Stand_X+135_Y+90,11,True,53.757198,76.673203
